rank,CSA,NAME,pop,p50,p90,p95,p99,n_persons_15plus,n_records
1,488,"San Jose-San Francisco-Oakland, CA",9164058,40781,188611,261574,697350,7431654,77838
2,500,"Seattle-Tacoma, WA",5105721,45878,158025,228750,502511,4140885,43540
3,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",10237545,45878,157006,205943,455725,8229220,83527
4,148,"Boston-Worcester-Providence, MA-RI-NH",8493824,41800,147320,203904,450627,7100663,72190
5,408,"New York-Newark, NY-NJ-CT-PA",22342624,36295,145893,210021,494886,17360658,165749
6,216,"Denver-Aurora-Greeley, CO",3752505,45878,143503,200846,473431,3024527,30438
7,378,"Minneapolis-St. Paul, MN-WI",4155051,44859,123871,173318,401690,3281640,24111
8,176,"Chicago-Naperville, IL-IN-WI",9941597,36703,122342,173318,442471,8077061,70988
9,440,"Portland-Vancouver-Salem, OR-WA",3326675,37824,122342,168220,374130,2641814,26915
10,348,"Los Angeles-Long Beach, CA",18507255,30586,122342,177396,401774,15135030,154984
11,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",7490896,36091,122342,178416,407807,6110358,52940
12,206,"Dallas-Fort Worth, TX-OK",8909918,35173,122342,174338,552374,6828973,70202
13,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",7340522,33950,120303,168220,406788,5879689,58266
14,288,"Houston-Pasadena, TX",7996140,30586,117448,169240,440942,5986679,53176
15,172,"Charlotte-Concord, NC-SC",3471190,35683,116225,163123,430428,2678179,26901
16,429,"Phoenix-Mesa, AZ",5241031,35683,112147,159045,398188,4237670,41481
17,370,"Miami-Port St. Lucie-Fort Lauderdale, FL",7309740,30586,110108,164142,503289,5857400,56772
18,220,"Detroit-Warren-Ann Arbor, MI",5430523,32625,108069,152928,348226,4522952,37818
19,184,"Cleveland-Akron-Canton, OH",3750887,32828,101952,138002,356831,3105511,32394
20,422,"Orlando-Lakeland-Deltona, FL",4687600,30586,98893,133557,285465,3768228,33721
