rank,CSA,NAME,pop,p50,p90,p95,p99,n_workers,n_records
1,488,"San Jose-San Francisco-Oakland, CA",9164058,91757,255899,361929,700409,2416660,23238
2,500,"Seattle-Tacoma, WA",5105721,85640,221235,305855,686136,1421444,13293
3,408,"New York-Newark, NY-NJ-CT-PA",22342624,76464,203904,305855,785029,5362252,46768
4,148,"Boston-Worcester-Providence, MA-RI-NH",8493824,79522,196767,257798,711624,2216301,20415
5,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",10237545,81561,183513,239587,617828,2953666,27445
6,216,"Denver-Aurora-Greeley, CO",3752505,76464,183513,244684,648413,1128684,10448
7,348,"Los Angeles-Long Beach, CA",18507255,62191,163123,214099,458783,4625619,42178
8,176,"Chicago-Naperville, IL-IN-WI",9941597,70347,163123,224294,658609,2610724,21256
9,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",7490896,69327,158025,222357,577047,1899181,14444
10,440,"Portland-Vancouver-Salem, OR-WA",3326675,71366,156190,204413,576028,839051,7785
11,288,"Houston-Pasadena, TX",7996140,61171,153138,209001,585203,2055536,15949
12,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",7340522,61171,152928,209001,568891,1991875,17883
13,206,"Dallas-Fort Worth, TX-OK",8909918,62191,152928,209001,585203,2446015,22266
14,172,"Charlotte-Concord, NC-SC",3471190,61171,152928,214056,545442,914886,8076
15,378,"Minneapolis-St. Paul, MN-WI",4155051,71366,152928,203904,614769,1129412,7176
16,370,"Miami-Port St. Lucie-Fort Lauderdale, FL",7309740,53015,147830,203904,606613,1768657,14939
17,429,"Phoenix-Mesa, AZ",5241031,61171,147830,203904,569911,1366863,11496
18,220,"Detroit-Warren-Ann Arbor, MI",5430523,61171,142766,188611,496505,1316359,9870
19,184,"Cleveland-Akron-Canton, OH",3750887,61171,127440,173732,515876,892679,8358
20,422,"Orlando-Lakeland-Deltona, FL",4687600,53015,124381,166181,437373,1146853,8499
