cbsa,msa,population_2022,religious_orgs,orgs_per_100k,religious_emp,emp_per_100k
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3696911,1902,51.45,20960,567.0
12580,"Baltimore-Columbia-Towson, MD",2846006,1462,51.37,13736,482.6
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6289810,3204,50.94,29192,464.1
12060,"Atlanta-Sandy Springs-Roswell, GA",6253070,3081,49.27,31603,505.4
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6252024,3069,49.09,27157,434.4
19100,"Dallas-Fort Worth-Arlington, TX",7973603,3718,46.63,46730,586.1
42660,"Seattle-Tacoma-Bellevue, WA",4040080,1661,41.11,14510,359.2
19820,"Detroit-Warren-Dearborn, MI",4358510,1781,40.86,16113,369.7
14460,"Boston-Cambridge-Newton, MA-NH",4931775,1980,40.15,16029,325.0
45300,"Tampa-St. Petersburg-Clearwater, FL",3306285,1292,39.08,13776,416.7
16980,"Chicago-Naperville-Elgin, IL-IN",9310017,3625,38.94,37330,401.0
19740,"Denver-Aurora-Centennial, CO",2991705,1155,38.61,11075,370.2
35620,"New York-Newark-Jersey City, NY-NJ",19619844,7475,38.1,74065,377.5
26420,"Houston-Pasadena-The Woodlands, TX",7403068,2658,35.9,32149,434.3
31080,"Los Angeles-Long Beach-Anaheim, CA",12906936,4400,34.09,47448,367.6
41740,"San Diego-Chula Vista-Carlsbad, CA",3283755,1048,31.91,11464,349.1
41860,"San Francisco-Oakland-Fremont, CA",4599793,1404,30.52,14481,314.8
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",6211194,1794,28.88,18286,294.4
41940,"San Jose-Sunnyvale-Santa Clara, CA",1951368,540,27.67,6451,330.6
38060,"Phoenix-Mesa-Chandler, AZ",5029933,1342,26.68,14072,279.8
40140,"Riverside-San Bernardino-Ontario, CA",4675657,1121,23.98,11830,253.0
