rank,NAME,POPESTIMATE2023,dem_share_2party,dem_margin,tot
1,"San Jose-San Francisco-Oakland, CA",9001024,70.43737800265642,39.40725732217905,3791426
2,"Seattle-Tacoma, WA",4993725,65.96109394610741,30.871967362023806,2497949
3,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",10069592,63.700358889047656,26.722789815412828,4693013
4,"Chicago-Naperville, IL-IN-WI",9794558,61.40473531008651,22.499716290404432,4238489
5,"Portland-Vancouver-Salem, OR-WA",3286669,61.37564008778347,22.029363276248894,1694157
6,"Denver-Aurora-Greeley, CO",3691404,60.77350117900444,20.966187017504943,1992637
7,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",7390919,60.50936465231788,20.761158161045053,3835287
8,"Boston-Worcester-Providence, MA-RI-NH",8345067,60.36198962715507,20.31352962292708,4186909
9,"Los Angeles-Long Beach, CA",18316743,59.265103893867455,17.956304151998875,7209106
10,"New York-Newark, NY-NJ-CT-PA",21859598,57.351518112073286,14.579461004805438,9108430
11,"Minneapolis-St. Paul, MN-WI",4104786,56.71828977040758,13.152074641648909,2332210
12,"Detroit-Warren-Ann Arbor, MI",5361927,54.131350678168886,8.073305210343214,3012719
13,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",7221137,53.879406878835944,7.690663471046849,3518149
14,"Cleveland-Akron-Canton, OH",3732803,49.43018681571214,-1.1300223289438598,1856335
15,"Miami-Port St. Lucie-Fort Lauderdale, FL",7011936,49.003661920466044,-1.9764419547070797,3157138
16,"Phoenix-Mesa, AZ",5124113,47.172290378172136,-5.594669913951321,2291145
17,"Houston-Pasadena, TX",7706626,45.925152477229744,-8.022992073869835,2731724
18,"Orlando-Lakeland-Deltona, FL",4509624,45.51588813935829,-8.875830437539934,2105065
19,"Charlotte-Concord, NC-SC",3387115,45.491053059774075,-8.908378127147072,1732010
20,"Dallas-Fort Worth, TX-OK",8654750,44.7257355968397,-10.382358092603093,3368570
